username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
ShirlhH,2014,129,46,None,None,None,"{'Sushi': 1, 'Restauration_rapide': 1, 'Japonaise': 1, 'Chinoise': 1, 'Cafe': 1, 'Asiatique': 1}",3.72,3.72,4.0,3.72,1.78,0.0,2.0
ruvenb2016,2015,13,8,None,None,None,"{'Sushi': 1, 'Restauration_rapide': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.0,4.0,4.0,4.0,4.0,0.0,2.0
PiyushSaraf0210,2012,39,13,None,None,inde,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,3.0,0.0,1.0
Singaporetourist78,2012,76,37,35-49,None,singapour,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,3.0,0.0,1.0
Paradise805314,2013,1,0,None,None,None,"{'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.5,3.0,0.0,1.0
DerekP1478,2017,6,3,None,None,None,"{'Europeenne': 2, 'Tunisienne': 1, 'Thai': 1, 'Suisse': 1, 'Mediterraneenne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Asiatique': 1}",4.33,4.5,4.38,4.5,1.46,0.0,1.75
OltreXR4,2013,133,170,None,None,italie,"{'Pub': 1, 'Irlandaise': 1, 'Internationale': 1, 'Europeenne': 1, 'Bar': 1}",3.5,3.5,3.5,3.0,3.5,0.0,2.0
fatima20ln,2018,9,5,None,None,suisse,"{'Sushi': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.75,4.5,4.5,4.5,1.5,0.0,2.0
epdot_tay,2015,27,10,None,None,singapour,"{'Suisse': 1, 'Europeenne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.75,3.25,3.5,3.5,0.0,2.0
WannaBeObjectiveSuisse,2017,67,55,None,None,suisse,"{'Europeenne': 7, 'Asiatique': 6, 'Suisse': 4, 'Europe_centrale': 4, 'Diner': 3, 'Mediterraneenne': 2, 'Grillades': 2, 'Chinoise': 2, 'Vietnamienne': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Nepalaise': 1, 'Italienne': 1, 'Indienne': 1, 'Espagnole': 1, 'Coreenne': 1, 'Bar': 1}",4.09,3.4,3.26,3.21,1.77,0.0,1.58
BellaRim,2012,47,25,None,None,None,"{'Mediterraneenne': 6, 'Europeenne': 6, 'Italienne': 3, 'Asiatique': 3, 'Saine': 2, 'Pizza': 2, 'Sushi': 1, 'Suisse': 1, 'Steakhouse': 1, 'Moderne': 1, 'Japonaise': 1, 'Internationale': 1, 'Indienne': 1, 'Grillades': 1, 'Grecque': 1, 'Fusion': 1, 'Europe_centrale': 1, 'Espagnole': 1, 'Chinoise': 1}",3.95,4.18,3.91,3.86,2.18,0.0,2.09
FabriceB757,2012,29,23,35-49,H,suisse,"{'Suisse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Japonaise': 1, 'Europeenne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Bar': 1, 'Asiatique': 1, 'Allemande': 1}",3.17,3.33,3.33,3.5,1.33,0.0,1.33
Seraina E,2014,190,186,25-34,F,suisse,"{'Tibetaine': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Asiatique': 1}",4.0,4.5,3.75,4.0,3.75,0.0,2.0
BabyFraga,2009,4,100,None,None,None,"{'Tibetaine': 1, 'Asiatique': 1}",4.0,4.5,4.0,4.5,4.0,0.0,2.0
Laurianetu,2014,88,46,None,None,suisse,"{'Asiatique': 6, 'Europeenne': 3, 'Europe_centrale': 3, 'Sushi': 2, 'Suisse': 2, 'Japonaise': 2, 'Chinoise': 2, 'Vietnamienne': 1, 'Tibetaine': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Francaise': 1, 'Cafe': 1}",4.31,4.52,4.26,4.2,2.93,0.11,2.11
M1857EIfedericag,2008,166,455,35-49,F,suisse,"{'Asiatique': 3, 'Japonaise': 2, 'Bar': 2, 'Americaine': 2, 'Ethiopienne': 1, 'Thai': 1, 'Sushi': 1, 'Suisse': 1, 'Soupes': 1, 'Mediterraneenne': 1, 'Israelienne': 1, 'Grillades': 1, 'Europeenne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Africaine': 1}",4.21,4.39,4.21,4.04,2.0,0.14,2.08
Notilus92,2014,65,41,None,None,france,"{'Thai': 1, 'Mexicaine': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.75,3.5,0.0,1.5
"Richard L SKaty, Texas, ",2014,11,6,None,None,etats-unis,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.0,3.0,3.0,3.5,3.0,0.0,1.0
shikhakalitaInde,2015,23,13,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.0,3.0,3.0,3.5,3.0,0.0,1.0
Lollo81SwedenSweden,2009,45,290,25-34,F,None,"{'Suisse': 2, 'Thai': 1, 'Grillades': 1, 'Europeenne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Asiatique': 1}",4.1,4.13,4.23,3.7,3.2,0.33,2.27
