username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
Llilaaaa,2019,2,2,None,None,france,"{'Steakhouse': 1, 'Japonaise': 1, 'Grillades': 1, 'Francaise': 1, 'Europeenne': 1, 'Asiatique': 1}",4.5,2.5,2.5,2.5,0.0,0.0,2.0
Christine74380,2018,5,5,None,None,france,"{'Sushi': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Fusion_japonaise': 1, 'Europeenne': 1, 'Asiatique': 1}",4.56,4.78,4.56,4.56,1.78,0.0,2.0
marvdevedzic,2017,6,6,None,None,suisse,"{'Europeenne': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Chinoise': 1, 'Asiatique': 1}",3.62,3.92,3.62,3.83,2.17,0.0,1.58
noa1201,2012,6,69,None,None,suisse,"{'Italienne': 2, 'Europeenne': 2, 'Asiatique': 2, 'Thai': 1, 'Sushi': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Fusion': 1}",4.0,4.18,3.79,3.68,4.21,0.0,2.0
Shoonpower,2009,58,139,35-49,H,suisse,"{'Europeenne': 6, 'Mediterraneenne': 5, 'Italienne': 5, 'Suisse': 2, 'Pizza': 2, 'Toscane': 1, 'Sushi': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Marocaine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Italie_du_Centre': 1, 'Grillades': 1, 'Francaise': 1, 'Asiatique': 1}",3.64,3.91,3.76,3.62,3.64,0.0,2.03
TravellerDreamerMore,2015,101,84,25-34,F,suisse,"{'Europeenne': 4, 'Suisse': 2, 'Restauration_rapide': 2, 'Francaise': 2, 'Asiatique': 2, 'Sushi': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Internationale': 1, 'Bar': 1}",3.67,4.0,3.56,3.67,3.78,0.0,1.78
tania2geneve,2014,88,59,None,None,suisse,"{'Europeenne': 6, 'Francaise': 4, 'Pizza': 3, 'Mediterraneenne': 2, 'Italienne': 2, 'Asiatique': 2, 'Traiteur': 1, 'Toscane': 1, 'Thai': 1, 'Sushi': 1, 'Suisse': 1, 'Peruvienne': 1, 'Moderne': 1, 'Mexicaine': 1, 'Japonaise': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Brasserie_gastronomique': 1}",4.16,3.31,3.28,3.04,2.31,0.33,2.0
telassima,2012,11,6,35-49,H,suisse,"{'Asiatique': 3, 'Peruvienne': 2, 'Japonaise': 2, 'Sushi': 1, 'Coreenne': 1, 'Americaine': 1}",4.09,4.26,4.09,3.76,2.48,0.33,2.19
Elfalcon,2010,9,370,None,None,suisse,"{'Peruvienne': 1, 'Japonaise': 1, 'Francaise': 1, 'Europeenne': 1, 'Asiatique': 1}",4.32,4.32,4.32,3.82,2.54,0.36,2.64
letizia2401,2019,10,9,None,None,None,"{'Mediterraneenne': 3, 'Italienne': 3, 'Peruvienne': 2, 'Europeenne': 2, 'Sushi': 1, 'Saine': 1, 'Moderne': 1, 'Japonaise': 1, 'Brasserie_gastronomique': 1, 'Asiatique': 1}",4.1,4.2,4.2,3.7,0.8,0.2,2.4
kayo1977,2019,6,5,None,None,None,"{'Sushi': 1, 'Suisse': 1, 'Peruvienne': 1, 'Japonaise': 1, 'Italienne': 1, 'Europeenne': 1, 'Asiatique': 1}",4.08,4.19,3.88,3.5,2.65,0.77,2.38
alhers,2016,13,8,None,None,suisse,"{'Italienne': 2, 'Europeenne': 2, 'Vietnamienne': 1, 'Thai': 1, 'Steakhouse': 1, 'Peruvienne': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Internationale': 1, 'Grillades': 1, 'Francaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.16,4.16,4.16,3.82,1.92,0.2,2.16
293sandrineh,2021,2,2,None,None,None,"{'Sushi': 1, 'Restauration_rapide': 1, 'Japonaise': 1, 'Asiatique': 1, 'Americaine': 1}",3.94,3.94,3.94,3.94,0.0,0.0,1.56
Guide46057296769,2020,5,3,None,None,None,"{'Asiatique': 2, 'Sushi': 1, 'Pizza': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Grillades': 1, 'Europeenne': 1, 'Coreenne': 1, 'Campanie': 1}",4.36,4.5,4.36,4.0,2.39,0.0,2.0
giovannisC2444SN,2016,19,7,None,None,suisse,"{'Europeenne': 6, 'Italienne': 5, 'Pizza': 3, 'Napolitaine': 3, 'Mediterraneenne': 3, 'Italie_du_Sud': 3, 'Campanie': 3, 'Americaine': 3, 'Sushi': 1, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Japonaise': 1, 'Francaise': 1, 'Asiatique': 1}",3.8,4.08,3.68,3.6,3.25,0.17,2.23
MatchaMochi,2016,4,1,None,None,None,"{'Sushi': 3, 'Japonaise': 3, 'Asiatique': 3, 'Pizza': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Italie_du_Sud': 1, 'Fusion': 1, 'Europeenne': 1, 'Campanie': 1}",4.14,4.36,3.86,3.86,3.89,0.0,2.0
Gleb7,2007,30,167,None,None,suisse,"{'Mediterraneenne': 2, 'Italienne': 2, 'Europeenne': 2, 'Sushi': 1, 'Pizza': 1, 'Napolitaine': 1, 'Japonaise': 1, 'Italie_du_Sud': 1, 'Internationale': 1, 'Francaise': 1, 'Campanie': 1, 'Asiatique': 1}",4.0,4.33,4.33,4.0,4.0,0.0,2.0
Volvic63,2017,73,53,50-64,H,france,"{'Europeenne': 2, 'Sushi': 1, 'Suisse': 1, 'Japonaise': 1, 'Francaise': 1, 'Asiatique': 1}",4.04,4.04,4.04,3.71,3.82,0.36,2.36
Meander585386,2015,9,6,50-64,H,suisse,"{'Japonaise': 2, 'Asiatique': 2, 'Sushi': 1, 'Suisse': 1, 'Europeenne': 1}",4.17,4.17,3.83,4.17,3.83,0.0,2.0
Fetfred,2013,174,82,None,None,None,"{'Suisse': 1, 'Japonaise': 1, 'Europeenne': 1, 'Asiatique': 1}",4.22,4.22,4.22,4.0,4.22,0.44,2.44
Stef5962,2011,43,70,None,None,canada,"{'Europeenne': 2, 'Sushi': 1, 'Suisse': 1, 'Japonaise': 1, 'Francaise': 1, 'Asiatique': 1}",4.17,4.33,4.17,4.17,4.17,0.0,2.0
FeatherTrue,2012,91,41,None,None,canada,"{'Sushi': 1, 'Suisse': 1, 'Japonaise': 1, 'Europeenne': 1, 'Asiatique': 1}",4.25,4.25,4.25,4.25,2.0,0.0,2.0
OlivierC2611,2016,4,3,None,None,None,"{'Restauration_rapide': 2, 'Sushi': 1, 'Pizza': 1, 'Japonaise': 1, 'Italienne': 1, 'Internationale': 1, 'Francaise': 1, 'Europeenne': 1, 'Cafe': 1, 'Asiatique': 1}",4.25,2.0,1.94,1.81,1.56,0.0,2.0
Voyage74it,2019,3,2,None,None,None,"{'Europeenne': 2, 'Sushi': 1, 'Saine': 1, 'Pub': 1, 'Japonaise': 1, 'Francaise': 1, 'Bar': 1, 'Asiatique': 1, 'Americaine': 1}",4.46,4.46,4.27,4.15,2.58,0.0,2.31
jolymatt,2013,24,95,18-24,H,suisse,"{'Italienne': 2, 'Asiatique': 2, 'Sushi': 1, 'Pizza': 1, 'Japonaise': 1, 'Indienne': 1, 'Europeenne': 1}",3.94,4.22,3.91,3.94,2.97,0.0,1.81
AlainF_12,2012,54,35,None,None,france,"{'Asiatique': 2, 'Soupes': 1, 'Japonaise': 1, 'Chinoise': 1, 'Cafe': 1}",3.45,3.7,3.7,3.25,3.95,0.4,2.4
